"","Continent","Country"
"1","Africa","Algeria"
"2","Africa","Angola"
"3","Africa","Benin"
"4","Africa","Botswana"
"5","Africa","Burkina"
"6","Africa","Burundi"
"7","Africa","Cameroon"
"8","Africa","Cape Verde"
"9","Africa","Central African Republic"
"10","Africa","Chad"
"11","Africa","Comoros"
"12","Africa","Congo"
"13","Africa","Congo, Democratic Republic of"
"14","Africa","Djibouti"
"15","Africa","Egypt"
"16","Africa","Equatorial Guinea"
"17","Africa","Eritrea"
"18","Africa","Ethiopia"
"19","Africa","Gabon"
"20","Africa","Gambia"
"21","Africa","Ghana"
"22","Africa","Guinea"
"23","Africa","Guinea-Bissau"
"24","Africa","Ivory Coast"
"25","Africa","Kenya"
"26","Africa","Lesotho"
"27","Africa","Liberia"
"28","Africa","Libya"
"29","Africa","Madagascar"
"30","Africa","Malawi"
"31","Africa","Mali"
"32","Africa","Mauritania"
"33","Africa","Mauritius"
"34","Africa","Morocco"
"35","Africa","Mozambique"
"36","Africa","Namibia"
"37","Africa","Niger"
"38","Africa","Nigeria"
"39","Africa","Rwanda"
"40","Africa","Sao Tome and Principe"
"41","Africa","Senegal"
"42","Africa","Seychelles"
"43","Africa","Sierra Leone"
"44","Africa","Somalia"
"45","Africa","South Africa"
"46","Africa","South Sudan"
"47","Africa","Sudan"
"48","Africa","Swaziland"
"49","Africa","Tanzania"
"50","Africa","Togo"
"51","Africa","Tunisia"
"52","Africa","Uganda"
"53","Africa","Zambia"
"54","Africa","Zimbabwe"
"55","Asia","Afghanistan"
"56","Asia","Bahrain"
"57","Asia","Bangladesh"
"58","Asia","Bhutan"
"59","Asia","Brunei"
"60","Asia","Burma (Myanmar)"
"61","Asia","Cambodia"
"62","Asia","China"
"63","Asia","East Timor"
"64","Asia","India"
"65","Asia","Indonesia"
"66","Asia","Iran"
"67","Asia","Iraq"
"68","Asia","Israel"
"69","Asia","Japan"
"70","Asia","Jordan"
"71","Asia","Kazakhstan"
"72","Asia","Korea, North"
"73","Asia","Korea, South"
"74","Asia","Kuwait"
"75","Asia","Kyrgyzstan"
"76","Asia","Laos"
"77","Asia","Lebanon"
"78","Asia","Malaysia"
"79","Asia","Maldives"
"80","Asia","Mongolia"
"81","Asia","Nepal"
"82","Asia","Oman"
"83","Asia","Pakistan"
"84","Asia","Philippines"
"85","Asia","Qatar"
"86","Asia","Russian Federation"
"87","Asia","Saudi Arabia"
"88","Asia","Singapore"
"89","Asia","Sri Lanka"
"90","Asia","Syria"
"91","Asia","Tajikistan"
"92","Asia","Thailand"
"93","Asia","Turkey"
"94","Asia","Turkmenistan"
"95","Asia","United Arab Emirates"
"96","Asia","Uzbekistan"
"97","Asia","Vietnam"
"98","Asia","Yemen"
"99","Europe","Albania"
"100","Europe","Andorra"
"101","Europe","Armenia"
"102","Europe","Austria"
"103","Europe","Azerbaijan"
"104","Europe","Belarus"
"105","Europe","Belgium"
"106","Europe","Bosnia and Herzegovina"
"107","Europe","Bulgaria"
"108","Europe","Croatia"
"109","Europe","Cyprus"
"110","Europe","CZ"
"111","Europe","Denmark"
"112","Europe","Estonia"
"113","Europe","Finland"
"114","Europe","France"
"115","Europe","Georgia"
"116","Europe","Germany"
"117","Europe","Greece"
"118","Europe","Hungary"
"119","Europe","Iceland"
"120","Europe","Ireland"
"121","Europe","Italy"
"122","Europe","Latvia"
"123","Europe","Liechtenstein"
"124","Europe","Lithuania"
"125","Europe","Luxembourg"
"126","Europe","Macedonia"
"127","Europe","Malta"
"128","Europe","Moldova"
"129","Europe","Monaco"
"130","Europe","Montenegro"
"131","Europe","Netherlands"
"132","Europe","Norway"
"133","Europe","Poland"
"134","Europe","Portugal"
"135","Europe","Romania"
"136","Europe","San Marino"
"137","Europe","Serbia"
"138","Europe","Slovakia"
"139","Europe","Slovenia"
"140","Europe","Spain"
"141","Europe","Sweden"
"142","Europe","Switzerland"
"143","Europe","Ukraine"
"144","Europe","United Kingdom"
"145","Europe","Vatican City"
"146","North America","Antigua and Barbuda"
"147","North America","Bahamas"
"148","North America","Barbados"
"149","North America","Belize"
"150","North America","Canada"
"151","North America","Costa Rica"
"152","North America","Cuba"
"153","North America","Dominica"
"154","North America","Dominican Republic"
"155","North America","El Salvador"
"156","North America","Grenada"
"157","North America","Guatemala"
"158","North America","Haiti"
"159","North America","Honduras"
"160","North America","Jamaica"
"161","North America","Mexico"
"162","North America","Nicaragua"
"163","North America","Panama"
"164","North America","Saint Kitts and Nevis"
"165","North America","Saint Lucia"
"166","North America","Saint Vincent and the Grenadines"
"167","North America","Trinidad and Tobago"
"168","North America","US"
"169","Oceania","Australia"
"170","Oceania","Fiji"
"171","Oceania","Kiribati"
"172","Oceania","Marshall Islands"
"173","Oceania","Micronesia"
"174","Oceania","Nauru"
"175","Oceania","New Zealand"
"176","Oceania","Palau"
"177","Oceania","Papua New Guinea"
"178","Oceania","Samoa"
"179","Oceania","Solomon Islands"
"180","Oceania","Tonga"
"181","Oceania","Tuvalu"
"182","Oceania","Vanuatu"
"183","South America","Argentina"
"184","South America","Bolivia"
"185","South America","Brazil"
"186","South America","Chile"
"187","South America","Colombia"
"188","South America","Ecuador"
"189","South America","Guyana"
"190","South America","Paraguay"
"191","South America","Peru"
"192","South America","Suriname"
"193","South America","Uruguay"
"194","South America","Venezuela"
"195","Asia","Hong Kong"
"196","Asia","Mainland China"
"197","Asia","Macau"
"198","Asia","Taiwan"
"199","Asia","South Korea"
"200","Europe","UK"
"201","Europe","Czech Republic"
"202","Africa","Burkina Faso"
